Hyundai Santa Fe,811612W000-HYUNDAI,Shock absorber hood,580,Winner Auto
Hyundai Santa Fe,8177126011-HYUNDAI,Trunk lid shock absorber,389,Winner Auto
Hyundai Santa Fe,546502B201-HYUNDAI,Shock absorber front left,2232,Winner Auto
Hyundai Santa Fe,5465026600-HYUNDAI,Shock front left (gas),2094,Winner Auto
Hyundai Santa Fe,546502B510-HYUNDAI,Shock front left (gas),2352,Winner Auto
Hyundai Santa Fe,546502B540-HYUNDAI,Shock front left (gas),2436,Winner Auto
Hyundai Santa Fe,546602B201-HYUNDAI,Shock absorber front right,2006,Winner Auto
Hyundai Santa Fe,EX5466026600-MANDO,Shock Absorber Right (Gas),1314,Winner Auto
Hyundai Santa Fe,5466026300-HYUNDAI,Shock Absorber Right (Gas),1855,Winner Auto
Hyundai Santa Fe,546602B500-HYUNDAI,Shock Absorber Right (Gas),2562,Winner Auto
Hyundai Santa Fe,866112B040-HYUNDAI,Bumper rear,3071,Winner Auto
Hyundai Santa Fe,866502B700-HYUNDAI,Bumper rear (upper part),4517,Winner Auto
Hyundai Santa Fe,866112W000-HYUNDAI,Bumper rear upper part,4744,Winner Auto
Hyundai Santa Fe,8651026900-HYUNDAI,Bumper front,3623,Winner Auto
Hyundai Santa Fe,865112B020-HYUNDAI,Bumper front,3190,Winner Auto
Hyundai Santa Fe,865112B700-HYUNDAI,Bumper front,3780,Winner Auto
Hyundai Santa Fe,865122W000-HYUNDAI,Bumper Front (Lower),2755,Winner Auto
