Model,Sku,Name,Price,Supplier
Hyundai Getz,865201C300-HYUNDAI,Brake hose front left,514,SuperAuto
Hyundai Getz,817701C001-HYUNDAI,Brake hose front left,334,SuperAuto
Hyundai Getz,553101C500-HYUNDAI,Brake hose front left,1143,SuperAuto
Hyundai Getz,EX546501C300-MANDO,Brake hose front left,831,SuperAuto
Hyundai Getz,EX546601C150-MANDO,Brake hose front right,781,SuperAuto
Hyundai Getz,551001C200-HYUNDAI,Brake hose front right,6978,SuperAuto
Hyundai Getz,865111C100-HYUNDAI,Brake hose front right,2326,SuperAuto
Hyundai Getz,584111C000-MEYLE,Shrine inner right is in assembly,814,SuperAuto
Hyundai Getz,282101C001-HYUNDAI,Shrub Outside RETURN DOES NOT WAIT!,110,SuperAuto
Hyundai Getz,986201C501-HYUNDAI,Wiper blade passage.,219,SuperAuto
Hyundai Getz,986201C000-HYUNDAI,Wiper blade passage.,119,SuperAuto
Hyundai Getz,254301C000-HYUNDAI,Absorber of the bumper front,376,SuperAuto
Hyundai Getz,254311C000-HYUNDAI,Shock Absorber Door Trunk,126,SuperAuto
Hyundai Getz,PCF1108-CONSTRUCT,Shock Absorber,3059,SuperAuto
Hyundai Getz,PCF716-CONSTRUCT,Shock front left (gas oil),3168,SuperAuto
Hyundai Getz,PCF857-CONSTRUCT,Shock Absorber Right (Gas),2841,SuperAuto
Hyundai Getz,868411C500-HYUNDAI,Pendant rear beam,63,SuperAuto
Hyundai Getz,868611C000-HYUNDAI,Bumper front,50,SuperAuto
Hyundai Getz,868421C500-HYUNDAI,Brake drum,68,SuperAuto
Hyundai Getz,868421C000-HYUNDAI,Air intake tank (upper),54,SuperAuto
